feature,importance
age,0.07536770986147776
poverty_income_ratio,0.06100317451786146
height_cm,0.04719382091149837
uacr_mg_g,0.046454853819034546
egfr,0.044288648327091056
waist_cm,0.04401670636961471
urine_creatinine_mg_dl,0.04348301208314907
systolic_bp,0.04339396589648871
weight_kg,0.04301426773334723
diastolic_bp,0.04231787171070226
bmi,0.042185031297518744
urine_albumin_mg_l,0.03990397340847037
total_cholesterol,0.03934399860790311
triglycerides_mg_dl,0.039079970262084915
creatinine,0.03810036995663148
alp,0.03622185192625374
ggt,0.03601627742223398
bun,0.03557533944979413
glucose,0.0345126653807459
alt,0.03164903041692643
ast,0.030123301674190986
race_ethnicity_label_non_hispanic_white,0.014530675215293694
education_label_college_or_above,0.010661958179553793
education_label_high_school_or_GED,0.009332609445324238
sex_label_male,0.009081879841438146
sex_label_female,0.008936860219910421
race_ethnicity_label_mexican_american,0.008582679444124908
education_label_9_11th_grade_no_diploma,0.0082872717552907
race_ethnicity_label_non_hispanic_asian,0.008165032060096203
race_ethnicity_label_non_hispanic_black,0.007775256468836546
education_label_some_college_or_AA,0.007570779287722405
education_label_less_than_9th_grade,0.0049071498538377
race_ethnicity_label_other_hispanic,0.004767960657611445
race_ethnicity_label_other_race_multiracial,0.0034234177847956835
education_label_dont_know,0.000730628753145137
education_label_refused,1.1043583488915152e-20
